code,name,market,E_GRADE,S_GRADE,G_GRADE,ESG_GRADE,name_en,industry,industry_en,number_of_patents,activity_index,attractivity_index,level_index,Y_Change,Y_TA
000660,SK하이닉스,KOSPI,4,1,2,3,SK hynix,전기전자,Electrical_Electronic_Equipment,0.8275862068965518,0.00021229458676526173,0.0011770590422811634,4.249137296192189e-06,-24.8,426369277489.0689
035420,NAVER,KOSPI,2,3,1,2,NAVER,서비스업,Services,0.008045977011494254,0.0059728018588922245,0.0226227523197814,1.9783121107271603e-06,-40.09720534629405,224665286374.49396
005380,현대차,KOSPI,3,2,1,2,HyundaiMotor,운수장비,Transport_Equipment,0.019540229885057474,0.0002885968883029465,0.0007272930990996323,3.2176438221165486e-06,-26.722338204592894,145027293931.1741
006400,삼성SDI,KOSPI,4,3,2,4,"SAMSUNG SDI CO.,LTD.",전기전자,Electrical_Electronic_Equipment,0.7323116219667944,0.00022711696157300218,0.0013716665748470718,9.691420028815154e-06,-16.909620991253643,185412389295.54657
068270,셀트리온,KOSPI,8,7,3,7,Celltrion,의약품,Medical_Supplies,0.0,0.0,0.0,0.0,-32.33189666773038,132142069829.7166
028260,삼성물산,KOSPI,2,1,1,2,SAMSUNG C&T CORPORATION,유통업,Distribution,0.0007662835249042147,0.16320210405645538,0.0,8.174970667674102e-06,-10.948905109489052,36811110819.83806
005490,POSCO,KOSPI,3,2,1,2,POSCO Holdings Inc.,철강금속,Iron_Metal_Products,0.0,0.0,0.0,0.0,-32.56484149855908,110596902603.23886
105560,KB금융,KOSPI,1,2,1,1,KB Financial Group,기타금융,Other_Financial_Companies,0.0,0.0,0.0,0.0,-14.260249554367205,75769418159.31174
055550,신한지주,KOSPI,2,2,1,1,"ShinhanFinancialGroup Co.,Ltd.",기타금융,Other_Financial_Companies,0.0,0.0,0.0,0.0,-7.45721271393643,53233864646.55871
012330,현대모비스,KOSPI,3,1,1,2,HyundaiMobis,운수장비,Transport_Equipment,0.0,0.0,0.0,0.0,-31.26079447322971,60578956659.91903
096770,SK이노베이션,KOSPI,3,2,1,2,SK Innovation,화학,Chemicals,0.06398467432950192,0.0035122457063352613,0.03898948294999659,6.435894744738544e-06,-29.20353982300885,118409697404.8583
034730,SK,KOSPI,2,1,1,1,SK,기타금융,Other_Financial_Companies,0.0,0.0,0.0,0.0,-22.55772646536412,43714163570.850204
015760,한국전력,KOSPI,4,4,1,3,KoreaElectricPower,전기가스업,Electricity_Gas,0.0,0.0,0.0,0.0,-10.06036217303823,42264231264.37247
066570,LG전자,KOSPI,2,2,2,3,LGELECTRONICS,전기전자,Electrical_Electronic_Equipment,0.007790549169859515,4.1494639772494744e-07,2.8543522855462695e-06,2.5825825414356508e-05,-43.66459627329193,133418050346.15384
323410,카카오뱅크,KOSPI,5,3,1,3,KakaoBank Corp.,은행,Banks,0.0,0.0,0.0,0.0,-55.44412607449857,208847298759.1324
010950,S-Oil,KOSPI,3,2,1,2,S-OilCorporation,화학,Chemicals,0.0,0.0,0.0,0.0,5.365853658536586,38173918128.34008
086790,하나금융지주,KOSPI,2,3,1,2,HanaFinancialGroupInc.,기타금융,Other_Financial_Companies,0.0,0.0,0.0,0.0,-14.193548387096774,49850999598.38057
017670,SK텔레콤,KOSPI,2,2,1,2,SKTelecom,통신업,Communication,0.0001277139208173691,0.11466679149025613,0.07474635656788549,1.5395424986203583e-06,-5.045148344560699,61971195101.92712
051900,LG생활건강,KOSPI,3,1,2,2,LG H&H,화학,Chemicals,0.0,0.0,0.0,0.0,-59.47638019351167,60621933983.80567
009150,삼성전기,KOSPI,3,2,1,3,SamsungElectroMechanics,전기전자,Electrical_Electronic_Equipment,0.0,0.0,0.0,0.0,-24.362606232294617,97137616884.6154
000810,삼성화재,KOSPI,2,1,1,2,SamsungFire&MarineInsurance,보험,Insurance,0.0,0.0,0.0,0.0,-9.090909090909092,20871101291.49797
010130,고려아연,KOSPI,6,7,6,6,KoreaZinc,철강금속,Iron_Metal_Products,0.0,0.0,0.0,0.0,13.287514318442154,28883467485.82996
316140,우리금융지주,KOSPI,1,2,1,1,WooriFinancialGroup,기타금융,Other_Financial_Companies,0.0,0.0,0.0,0.0,3.8793103448275854,40450515638.05668
003670,포스코케미칼,KOSPI,3,2,3,3,POSCO CHEMICAL,비금속광물,Non_metallic_Mineral_Products,0.0001277139208173691,0.2311990852009394,0.0,0.0,-21.03448275862069,61198312592.71255
011070,LG이노텍,KOSPI,2,2,1,2,LG Innotek,전기전자,Electrical_Electronic_Equipment,0.41992337164750965,0.00020590908455898505,0.0011750416908832143,8.76769452964294e-06,60.22471910112359,106792679544.5344
036570,엔씨소프트,KOSPI,5,4,2,5,NCsoftCorporation,서비스업,Services,0.0,0.0,0.0,0.0,-52.737226277372265,133805222599.19028
090430,아모레퍼시픽,KOSPI,2,1,1,2,AMOREPACIFIC CORPORATION,화학,Chemicals,0.040740740740740744,0.002710868223968989,0.00547392127616916,4.182935051513034e-06,-45.59686888454012,48348709190.2834
009830,한화솔루션,KOSPI,3,4,4,4,HANWHA SOLUTIONS,화학,Chemicals,0.0,0.0,0.0,0.0,-14.394765539803709,44260665088.8664
024110,기업은행,KOSPI,3,2,3,3,INDUSTRIALBANKOFKOREA,은행,Banks,0.0,0.0,0.0,0.0,-6.571428571428571,14254678342.388664
086280,현대글로비스,KOSPI,2,3,1,2,"HYUNDAIGLOVIS Co.,LTD",운수창고업,Transport_Storage,0.0,0.0,0.0,0.0,-12.23021582733813,24868771961.53846
